,t0_F1E_2,t0_F1E_3,t0_F1E_4,t0_F1C_2,t0_F1C_3,t0_F1C_4,LPS_F1E_1,LPS_F1E_2,LPS_F1E_3,LPS_F1C_1,LPS_F1C_2,LPS_F1C_4
PTF1A,1.373497993,1.71682137,0,2.263488142,2.671713756,0,1.442363719,1.744117406,1.274068672,3.556757765,2.062989379,1.010204394
GPR139,4.120493979,0,10.20093097,3.621581028,5.343427512,2.742393101,0.72118186,1.744117406,3.822206017,0.889189441,1.031494689,5.051021972
FKBP12,2749.742982,3129.765358,3835.550046,2668.65252,2360.268267,2646.409343,2804.676252,2938.837829,2760.906813,2695.133196,2823.200965,2651.786535
HELZ,8.240987958,3.43364274,2.550232743,7.243162055,4.580080724,4.387828962,5.048273018,5.232352218,12.74068672,7.113515529,8.251957515,5.051021972
ENSGALG00000027165,17.85547391,18.88503507,43.35395664,45.72246047,18.3203229,20.29370895,62.02163993,17.44117406,22.9332361,26.67568323,66.01566012,85.86737352
TMEM159,401.061414,329.629703,430.9893336,358.5365217,393.1235955,409.7135293,384.3899312,347.0793638,375.8502583,373.4595653,369.2750988,382.8674655
ENSGALG00000027183,10.98798394,5.15046411,5.100465487,5.432371542,8.015141268,6.581743443,3.605909298,1.744117406,6.370343361,7.113515529,8.251957515,3.030613183
COX11,79.6628836,103.0092822,40.80372389,71.5262253,65.26615032,78.98092132,85.09945944,78.48528327,68.7997083,93.36489132,89.74003797,77.78573837
NTS,318.6515344,266.1073124,295.8269982,271.1658794,269.0797426,266.0121308,232.9417407,224.9911454,179.6436828,207.1811398,291.9129971,225.27558
TMEM47,39.8314418,27.46914192,10.20093097,23.08757905,29.00717792,17.00283723,15.86600091,17.44117406,12.74068672,21.34054659,23.72437786,21.21429228
MMGT1,177.1812411,192.2839934,224.4204814,212.7678854,210.3020399,208.4218757,217.7969216,202.3176191,221.687949,190.2865404,166.070645,214.1633316
gga-mir-6585,97.51835751,42.92053425,33.15302566,97.32999012,62.59443657,108.5987668,62.74282179,50.57940477,57.33309025,72.91353417,55.70071323,23.23470107
ENSGALG00000027207,1.373497993,1.71682137,2.550232743,0,0.381673394,0.54847862,0,0,1.274068672,1.778378882,3.094484068,3.030613183
